"pop1","pop2","pop3","pop4","est","se","z","p","n"
"AR1","UQ1","CN6","SP1",0.106686543961645,0.04162494283063,2.56304361535696,0.0103759013188335,3019911
"AR1","UQ1","GD15","SP1",0.0566760233175549,0.0321012190037139,1.76554115627191,0.077472859653552,2955634
"AR1","UQ1","GD7","SP1",0.0940887521659089,0.0351938133780516,2.67344578875863,0.00750764094927132,2969148
"AR1","UQ1","TW4","SP1",0.137850159827111,0.0631883741596884,2.18157472257062,0.0291409341252388,3021491
"AR1","UQ1","GX4","SP1",0.0928881323719578,0.0382047593886658,2.43132358005414,0.0150437725969911,3008258
"AR1","UQ1","GX15","SP1",0.102020825104399,0.0424961564305711,2.40070711503232,0.0163634276926692,2871114
"AR1","UQ1","GX14","SP1",0.15526610655498,0.0404487130239798,3.83859200817914,0.000123741845923474,2835961
"AR1","UQ1","GX16","SP1",0.0975492562152672,0.036402452156119,2.67974409517547,0.00736784628703423,2906998
"AR1","UQ1","GX18","SP1",0.110906469147197,0.0403894300684903,2.74592805491754,0.00603399942938956,2914183
"AR1","UQ1","Gx17","SP1",0.114003257175443,0.0419622399264566,2.71680580863286,0.00659152696943888,2896082
"AR1","CN1","CN6","SP1",0.113219608229654,0.0401424981416037,2.82044251033577,0.00479574658204631,3018146
"AR1","CN1","GD15","SP1",0.141056037720977,0.0407108676715628,3.46482513855893,0.000530576342708128,2953769
"AR1","CN1","GD7","SP1",0.149692695533083,0.0333548830495808,4.48787949010556,7.19355984505406e-06,2967360
"AR1","CN1","TW4","SP1",0.109748664965317,0.0423915378012548,2.58892860834288,0.00962750519986962,3019735
"AR1","CN1","GX4","SP1",0.123207789316699,0.0336293293129425,3.66370046128995,0.000248597488690508,3006469
"AR1","CN1","GX15","SP1",0.103096189223317,0.0347047792328431,2.97066258602653,0.00297158065425167,2869162
"AR1","CN1","GX14","SP1",0.129752972582826,0.0331588607436941,3.91307088581144,9.11297692133353e-05,2834092
"AR1","CN1","GX16","SP1",0.101582272600719,0.0302045980327332,3.36313936343838,0.000770614501331246,2905144
