"pop1","pop2","pop3","pop4","est","se","z","p","n"
"AR1","UQ1","CN6","SP1",0.0911337636763039,0.0071452068360746,12.7545312217121,2.94138852905436e-37,82741777
"AR1","UQ1","GD15","SP1",0.0585398772230991,0.00716761316602069,8.1672763118157,3.15429874676562e-16,82527747
"AR1","UQ1","GD7","SP1",0.0589294263691201,0.00677423816770868,8.69904849965621,3.34678474271977e-18,82565525
"AR1","UQ1","TW4","SP1",0.0559378350638504,0.00746105252958402,7.49731151765114,6.51400428957e-14,82684662
"AR1","UQ1","GX4","SP1",0.0946639332709176,0.00710756795804442,13.3187517628693,1.80093352917108e-40,82251535
"AR1","UQ1","GX15","SP1",0.0544598969916512,0.00758095657255611,7.1837764100644,6.78117312989676e-13,81617606
"AR1","UQ1","GX14","SP1",0.0614263533163508,0.0072972376456058,8.41775426531985,3.83769702125911e-17,81712282
"AR1","UQ1","GX16","SP1",0.0646216177209021,0.00751113142458636,8.60344654726379,7.73572885374718e-18,82055991
"AR1","UQ1","GX18","SP1",0.0873815067331013,0.00699661540692373,12.4891110416945,8.56047795743063e-36,82162991
"AR1","UQ1","Gx17","SP1",0.0554146396217427,0.00767653539698847,7.21870437065685,5.24852143414504e-13,79152559
"AR1","CN1","CN6","SP1",0.0709495875549574,0.00580775978581581,12.2163433357275,2.54266548135594e-34,83010084
"AR1","CN1","GD15","SP1",0.0781024350217184,0.00564393886212195,13.8382850930377,1.49736358411276e-43,82793070
"AR1","CN1","GD7","SP1",0.0749510088425702,0.00569397899501263,13.1632043090113,1.42894684475379e-39,82830691
"AR1","CN1","TW4","SP1",0.076270128611455,0.00605657042491291,12.5929566174493,2.30861259765951e-36,82953504
"AR1","CN1","GX4","SP1",0.080503174650572,0.00609640236092936,13.2050297674742,8.20672658812346e-40,82513172
"AR1","CN1","GX15","SP1",0.0799470980638806,0.00610711001370638,13.0908233001293,3.71558412073668e-39,81871024
"AR1","CN1","GX14","SP1",0.0733890506733585,0.00589326637333127,12.4530347050772,1.34627066630682e-35,81966177
"AR1","CN1","GX16","SP1",0.0862455282004033,0.00614002349813897,14.0464492076527,8.09943931612339e-45,82316340
"AR1","CN1","GX18","SP1",0.0750668051641558,0.00629632598643779,11.9223187182253,9.05527219944282e-33,82424568
"AR1","CN1","Gx17","SP1",0.0799988443132432,0.00582648170526356,13.7302146235134,6.69349427080966e-43,79402230
"AR1","CN10","CN6","SP1",0.0916477912610503,0.00702164290260339,13.0521862949012,6.17495683209337e-39,83014174
"AR1","CN10","GD15","SP1",0.0599378318673541,0.00751285939321263,7.9780318957525,1.48684978044292e-15,82796601
"AR1","CN10","GD7","SP1",0.0609892528719775,0.00803070317878766,7.59450966050829,3.08960102263842e-14,82835039
"AR1","CN10","TW4","SP1",0.0603140678986157,0.00730764913512158,8.25355278878098,1.53753913786323e-16,82958475
"AR1","CN10","GX4","SP1",0.0965173760557775,0.00684754953564701,14.0951701850898,4.06666316887557e-45,82517182
"AR1","CN10","GX15","SP1",0.0654675126629303,0.00760492108621484,8.608572254826,7.39761253534049e-18,81875189
"AR1","CN10","GX14","SP1",0.0632409391888088,0.00734150898708953,8.61416083532986,7.0455728354477e-18,81970239
"AR1","CN10","GX16","SP1",0.0635133149687671,0.00799645653541792,7.94268244783847,1.97855017106548e-15,82320592
"AR1","CN10","GX18","SP1",0.0954766834999487,0.00665982072194391,14.3362242748301,1.29934783461671e-46,82428559
"AR1","CN10","Gx17","SP1",0.0633303640051652,0.00752658682965262,8.41422087308704,3.9551486469527e-17,79406220
"AR1","AL1","CN6","SP1",0.0960165505867141,0.00675165606883954,14.2211850852197,6.76967218094151e-46,81803584
"AR1","AL1","GD15","SP1",0.0695802494361748,0.00670204455590512,10.3819437271374,2.99612046571568e-25,81592231
"AR1","AL1","GD7","SP1",0.0677394054759856,0.00709579026526501,9.54642160261987,1.34253491354125e-21,81628505
"AR1","AL1","TW4","SP1",0.0645722478485056,0.00730845915186684,8.83527519367903,9.98521435017475e-19,81748178
"AR1","AL1","GX4","SP1",0.101400097096669,0.00634473181558506,15.9817782758905,1.71191690750549e-57,81313362
"AR1","AL1","GX15","SP1",0.0604460310855403,0.00739670080046024,8.17202597701116,3.03253214028501e-16,80677065
"AR1","AL1","GX14","SP1",0.0663357076306985,0.00709992935249449,9.34315038041781,9.35095067998197e-21,80775008
"AR1","AL1","GX16","SP1",0.072827168995078,0.00712874396770597,10.215988864938,1.68155731099539e-24,81117192
"AR1","AL1","GX18","SP1",0.0935960498259018,0.00629331469214703,14.872297732496,4.98718690485676e-50,81225414
"AR1","AL1","Gx17","SP1",0.0585742347687119,0.00735990432003786,7.9585592721959,1.74054014535406e-15,78417589
"AR1","AL2","CN6","SP1",0.0965828002233593,0.00633080856224206,15.2559975986945,1.50182054466296e-52,81366014
"AR1","AL2","GD15","SP1",0.0642599303974137,0.00805309174442604,7.97953536812632,1.46885153693927e-15,81159399
"AR1","AL2","GD7","SP1",0.067853817126024,0.00700079384647629,9.6923032750317,3.25112682041337e-22,81192552
"AR1","AL2","TW4","SP1",0.0633222601540234,0.00826820568724616,7.65852502335531,1.88080598068314e-14,81312938
"AR1","AL2","GX4","SP1",0.102920566047447,0.00616072853768913,16.7059083057817,1.18706543543632e-62,80878834
"AR1","AL2","GX15","SP1",0.0612523594116026,0.00803146929357469,7.62654467976432,2.41129380912045e-14,80246114
"AR1","AL2","GX14","SP1",0.0677161857364857,0.00744528622125605,9.0951756217455,9.44337265995019e-20,80344585
"AR1","AL2","GX16","SP1",0.0719423910572671,0.00763920006452862,9.41752938129214,4.61826545912795e-21,80682607
"AR1","AL2","GX18","SP1",0.0971413288267667,0.00609288166230775,15.9434130204284,3.16580619195767e-57,80790851
"AR1","AL2","Gx17","SP1",0.0586341004556318,0.00796583204357299,7.36070006684852,1.82948213484042e-13,78033974
"AR1","QT1","CN6","SP1",0.0753018463506178,0.00526031590873851,14.315080625771,1.76159724862192e-46,81482104
"AR1","QT1","GD15","SP1",0.0763090415775639,0.00590385614689213,12.9252880962782,3.24080435826704e-38,81273650
"AR1","QT1","GD7","SP1",0.0806407805829175,0.00490313789617111,16.4467698625997,8.84619495426544e-61,81308048
"AR1","QT1","TW4","SP1",0.0744352729913416,0.00638728991686795,11.6536549867211,2.19823970146927e-31,81427538
"AR1","QT1","GX4","SP1",0.080435637931249,0.00562361274355754,14.303196468035,2.08985689565105e-46,80994937
"AR1","QT1","GX15","SP1",0.0747210694688489,0.00601262067857617,12.4273712684206,1.85639004967427e-35,80361332
"AR1","QT1","GX14","SP1",0.0743245436279354,0.00541765730932165,13.7189451795063,7.81947215891925e-43,80458902
"AR1","QT1","GX16","SP1",0.0821674614832494,0.00550532271161452,14.925094456298,2.26314893357002e-50,80798047
"AR1","QT1","GX18","SP1",0.0773438749691301,0.00574484324581672,13.463182833657,2.57577323020442e-41,80907142
"AR1","QT1","Gx17","SP1",0.0697139098008992,0.00585909403118054,11.8984111587731,1.20621789258533e-32,78148092
"AR1","QT2","CN6","SP1",0.0810060729332429,0.00493879333520118,16.4019968918062,1.85053895567995e-60,80965386
"AR1","QT2","GD15","SP1",0.0793387965562529,0.00485073585597123,16.3560331693978,3.93969433903716e-60,80756917
"AR1","QT2","GD7","SP1",0.0812317561703448,0.00483344536503941,16.8061806921205,2.19890253018785e-63,80791734
"AR1","QT2","TW4","SP1",0.0775521776567684,0.0053486419777424,14.499414613932,1.22187470241606e-47,80909828
"AR1","QT2","GX4","SP1",0.0848937361525385,0.00503248123507717,16.8691609937492,7.58662917993164e-64,80478626
"AR1","QT2","GX15","SP1",0.0802923409313692,0.00503308398999691,15.9529109967065,2.71921033527521e-57,79845648
"AR1","QT2","GX14","SP1",0.0791287070590504,0.00494923678323951,15.9880625083484,1.54770110085411e-57,79944963
"AR1","QT2","GX16","SP1",0.0892435897954379,0.00521479483465815,17.1135380441651,1.17632111401238e-65,80282408
"AR1","QT2","GX18","SP1",0.0792745019942593,0.00519295202903007,15.2657874656058,1.29257952782476e-52,80391147
"AR1","QT2","Gx17","SP1",0.0756003192580304,0.00495204678603768,15.2664792003149,1.27894409343112e-52,77727148
"AR1","KL1","CN6","SP1",0.0828577870474298,0.0048625648083978,17.039934748907,4.15194554165392e-65,80740271
"AR1","KL1","GD15","SP1",0.0829450187425865,0.00481516632583022,17.2257847662791,1.70104852689054e-66,80531877
"AR1","KL1","GD7","SP1",0.0811221687993616,0.00474598791993556,17.0927887234199,1.67946605914273e-65,80566803
"AR1","KL1","TW4","SP1",0.0817308837250483,0.00539982440891198,15.1358410081183,9.3971652597046e-52,80684850
"AR1","KL1","GX4","SP1",0.0871293374696947,0.0051425889350225,16.9426992066815,2.17893354519016e-64,80255296
"AR1","KL1","GX15","SP1",0.078215180124455,0.00492290889291039,15.8880007381601,7.67361666276145e-57,79623168
"AR1","KL1","GX14","SP1",0.0800149911507787,0.00488525301431288,16.3788837377204,2.70664957112896e-60,79721793
"AR1","KL1","GX16","SP1",0.0926467684479431,0.00525865564513863,17.6179568885805,1.79366812996491e-69,80058868
"AR1","KL1","GX18","SP1",0.0834012346204399,0.00511598797522844,16.302077922049,9.5393112884818e-60,80167648
"AR1","KL1","Gx17","SP1",0.0762889462005118,0.00486553338060539,15.6794620924006,2.09016761497271e-55,77500348
"AR1","KL2","CN6","SP1",0.0802431568535673,0.00555429461642137,14.4470472661509,2.61665167682706e-47,82599680
"AR1","KL2","GD15","SP1",0.0734452481422294,0.00597892045444485,12.2840316578604,1.10358513114907e-34,82389010
"AR1","KL2","GD7","SP1",0.0783329931799916,0.00517267452302893,15.1436153253506,8.34946869573877e-52,82425438
"AR1","KL2","TW4","SP1",0.0726432619460686,0.00645156234875368,11.2597938327453,2.07242984294458e-29,82544068
"AR1","KL2","GX4","SP1",0.0807530535855033,0.00594807281083018,13.5763391191966,5.53232611137372e-42,82112888
"AR1","KL2","GX15","SP1",0.0723303481290104,0.00637375758499027,11.3481485865329,7.57496531396181e-30,81480600
"AR1","KL2","GX14","SP1",0.0734689604300243,0.00576725414017026,12.7389843839716,3.59038210572535e-37,81575141
"AR1","KL2","GX16","SP1",0.0841693226544587,0.00558846497935357,15.0612597493981,2.91185140086866e-51,81918055
"AR1","KL2","GX18","SP1",0.0806043124571111,0.00598241730102627,13.4735355962687,2.23883272350904e-41,82025336
"AR1","KL2","Gx17","SP1",0.0689942725496061,0.00609114636219594,11.3269766390464,9.64776693756429e-30,79020193
"AR1","FH1","CN6","SP1",0.0999502573631293,0.006352511210292,15.7339757545323,8.84768146387075e-56,79409918
"AR1","FH1","GD15","SP1",0.0694018618071371,0.00673938277011141,10.2979551947885,7.19749408262985e-25,79207677
"AR1","FH1","GD7","SP1",0.0690688834513607,0.00659955970305567,10.4656805240175,1.24180983738871e-25,79239150
"AR1","FH1","TW4","SP1",0.0699476746238729,0.00723037346247761,9.67414407939921,3.88327359747196e-22,79355594
"AR1","FH1","GX4","SP1",0.106606604559077,0.00610858833066048,17.4519215878393,3.328443763512e-68,78930487
"AR1","FH1","GX15","SP1",0.0678773615707118,0.00678697276025732,10.0011247972267,1.50675786774895e-23,78303882
"AR1","FH1","GX14","SP1",0.0694555833296181,0.00675440410486247,10.2830067984261,8.40633450911765e-25,78405488
"AR1","FH1","GX16","SP1",0.0766055599799284,0.00696300078736895,11.0018025732372,3.74568497928014e-28,78735554
"AR1","FH1","GX18","SP1",0.0987893271332567,0.00612814285145059,16.1205979573195,1.82831590101166e-58,78843768
